Team,APG,FG%,FT%,RPG,PPG,3PG,3FG%,TOPG
Prairie View,12.2,42.8,70.3,8.85,69.0,7.2,35.0,13.2
South Carolina St.,12.3,43.0,69.1,10.32,69.9,6.0,32.0,12.4
Drexel,14.7,43.5,66.7,11.88,74.9,8.0,34.5,13.3
American,11.3,44.9,61.8,6.80,61.5,5.6,31.8,13.2
Central Ark.,14.5,43.7,71.8,10.53,74.8,7.2,37.5,13.9
Binghamton,12.8,43.7,70.5,7.84,68.0,7.8,36.2,12.4
CSUN,13.7,46.1,72.9,9.83,78.0,4.8,34.9,13.3
McNeese,10.4,42.1,68.5,9.83,70.4,6.7,33.2,13.9
UTRGV,15.1,42.4,71.7,11.94,78.3,8.6,33.6,15.8
Drake,13.0,40.9,75.6,10.03,71.2,8.7,34.4,12.5
South Fla.,12.2,42.5,65.7,10.93,64.8,5.8,34.6,16.3
Chicago St.,11.3,38.4,70.1,10.75,65.3,6.6,31.1,13.8
Southern U.,11.8,43.6,69.6,12.27,71.5,4.9,31.9,13.7
Lafayette,12.6,43.0,71.1,6.83,66.5,7.4,33.4,14.5
Grambling,11.2,43.3,66.3,12.06,71.5,5.6,31.7,13.6
Jackson St.,10.9,38.5,67.4,13.28,64.6,6.8,29.9,12.2
Maine,11.8,40.3,65.4,10.16,64.7,6.6,31.9,13.1
UC Santa Barbara,12.1,37.7,63.4,12.71,60.8,5.5,29.0,12.2
Western Ill.,13.4,43.5,70.7,6.93,71.9,9.1,38.8,13.2
Morgan St.,10.8,38.5,71.1,14.13,67.5,5.3,29.4,14.0
Hartford,11.5,40.2,69.9,9.13,66.8,8.2,33.8,14.4
Stetson,13.6,44.1,65.9,8.56,77.2,8.2,33.9,11.3
VMI,11.9,41.2,69.0,10.20,68.6,8.3,31.6,13.2
UC Riverside,11.4,41.1,69.9,9.43,64.8,5.9,31.8,13.8
Southern Miss.,12.1,39.9,70.7,8.32,63.0,6.5,30.5,13.1
Delaware St.,13.4,41.9,65.9,10.88,68.3,8.2,36.2,13.6
